contract_id,slither_ok,slither_error,regex_owner_withdraw,regex_emergency_withdraw,regex_unrestricted_mint,slither_high_count,slither_arbitrary_send,slither_suicidal,slither_unchecked_lowlevel,slither_controlled_delegatecall,slither_delegatecall_loop,slither_ownerish_any,owner_withdraw,emergency_withdraw,unrestricted_mint
contract_019,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_020,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_021,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_022,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_023,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_024,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_025,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_026,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_027,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_028,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_029,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_030,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_031,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,1,1
contract_032,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_033,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_034,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_035,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_036,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_037,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_038,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_039,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_040,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_041,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_042,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_043,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_044,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_045,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_046,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_047,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_048,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_049,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_050,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_051,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_052,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_053,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_054,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_055,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_056,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_057,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_058,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_059,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_060,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_061,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_062,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_063,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_064,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_065,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_066,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_067,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_068,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_069,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_070,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_071,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_072,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_073,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_074,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_075,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_076,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_077,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_078,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_079,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_080,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_081,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_082,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_083,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_084,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_085,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_086,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_087,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_088,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_089,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_090,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_091,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_092,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_093,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_094,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_095,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_096,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_097,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_098,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_099,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_100,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
