contract_id,address,label_master_binary,pilot_dir,code_sol
contract_058,0x01686cb87a7684a42e68d969b2639ce3f527b84c,0,pilot_data\contract_058,pilot_data\contract_058\code.sol
contract_059,0x7a1b3b2bfb687a26328e623441edaea69df3def5,1,pilot_data\contract_059,pilot_data\contract_059\code.sol
contract_060,0xd5f05bd0b377dae95b50ef647f05892862edd4d6,0,pilot_data\contract_060,pilot_data\contract_060\code.sol
contract_061,0x1c8b9914121a99271127297546a33bb7aa584fbb,0,pilot_data\contract_061,pilot_data\contract_061\code.sol
contract_062,0x8a569bea411a621bf25159a58dc7c4812e61db28,0,pilot_data\contract_062,pilot_data\contract_062\code.sol
contract_063,0x82c46f09daac119dd2c3cee275fcc8ec91ba8cfb,0,pilot_data\contract_063,pilot_data\contract_063\code.sol
contract_064,0x969e8b8d9848faa40ac93990f4a79cd74b15b464,1,pilot_data\contract_064,pilot_data\contract_064\code.sol
contract_065,0xa43d7d15ede19674d5f3877f0e3880d8f431082f,0,pilot_data\contract_065,pilot_data\contract_065\code.sol
contract_066,0x00207ee03cb4d1171188a7f92dd271c330c54e69,0,pilot_data\contract_066,pilot_data\contract_066\code.sol
contract_067,0xc0de7c0226381baa35fb60d63c6466c21b845d6a,1,pilot_data\contract_067,pilot_data\contract_067\code.sol
contract_068,0x851bfc6cf6ee8bb715ef05040b8a9ce8a96453d3,0,pilot_data\contract_068,pilot_data\contract_068\code.sol
contract_069,0x9ca106bd993ee8dbd3ed0f3e60640409c9188894,0,pilot_data\contract_069,pilot_data\contract_069\code.sol
contract_070,0x80ab37509a14a144b394b251bcac80341fd659fc,0,pilot_data\contract_070,pilot_data\contract_070\code.sol
contract_071,0x4b1b48b9f40e370129de90baf010badca2dab601,0,pilot_data\contract_071,pilot_data\contract_071\code.sol
contract_072,0x7a7d08bcb2faf27414e86ecf9a0351d928054b6b,1,pilot_data\contract_072,pilot_data\contract_072\code.sol
contract_073,0x491c4ff67f9bf93bd947c15b3fdcec1b63f09767,0,pilot_data\contract_073,pilot_data\contract_073\code.sol
contract_074,0x9e59330e161ae8a726c1e6d90c9f5b279d80d180,1,pilot_data\contract_074,pilot_data\contract_074\code.sol
contract_075,0x675f0c5951bea7cd560017429e5237bb91bf3316,0,pilot_data\contract_075,pilot_data\contract_075\code.sol
contract_076,0xe3b0be41f8884f53bf2ff942b7888533c636a2ab,0,pilot_data\contract_076,pilot_data\contract_076\code.sol
contract_077,0x0d26917c4aa3a7bb54e378552e7dbe6257aed1a5,0,pilot_data\contract_077,pilot_data\contract_077\code.sol
contract_078,0xb3eff655e1113fd510edf7ed94be2b0ee217cd3d,1,pilot_data\contract_078,pilot_data\contract_078\code.sol
contract_079,0xc9b3af32f8c664277df9e45714fc6a077120bde7,0,pilot_data\contract_079,pilot_data\contract_079\code.sol
contract_080,0xb792acb4a72fd39428b1f929fc888c31a8c0a963,0,pilot_data\contract_080,pilot_data\contract_080\code.sol
contract_081,0xdf540b9521f04290ef75e72bdd919c4eaa9f84a9,0,pilot_data\contract_081,pilot_data\contract_081\code.sol
contract_082,0x539be7d85ad7e45506be8db97ce0fec589511e0f,0,pilot_data\contract_082,pilot_data\contract_082\code.sol
contract_083,0x20e4747eb302db56683f2eb206fabd56e50a07ff,1,pilot_data\contract_083,pilot_data\contract_083\code.sol
contract_084,0x73c0f542fdc989f7203701401b9ab988591f4090,1,pilot_data\contract_084,pilot_data\contract_084\code.sol
contract_085,0x54372a9ce490f59cb8e20ef4ca6722d400db4e92,1,pilot_data\contract_085,pilot_data\contract_085\code.sol
contract_086,0x9d1d32d3bf82ec5d0069514b411524931eb6d06a,0,pilot_data\contract_086,pilot_data\contract_086\code.sol
contract_087,0x5882a0ed80ca3dc839e58d10f022408c74c9890e,1,pilot_data\contract_087,pilot_data\contract_087\code.sol
contract_088,0x821d29bdcaf35def4256296efa37b01fbb8c3a60,1,pilot_data\contract_088,pilot_data\contract_088\code.sol
contract_089,0x159a01c824ddbe34f73c565256e8f0cf75a83c08,1,pilot_data\contract_089,pilot_data\contract_089\code.sol
contract_090,0xbbb294fb7f932481a8226e0b0c53ad49645266de,0,pilot_data\contract_090,pilot_data\contract_090\code.sol
contract_091,0x7514bc18ba8c4a836353325f5a3e1dec86394a7e,0,pilot_data\contract_091,pilot_data\contract_091\code.sol
contract_092,0x6682358fca9260828f902ca3790d35f3eba45521,0,pilot_data\contract_092,pilot_data\contract_092\code.sol
contract_093,0x444428f463e435079e304ffab94aa38325df3cc5,0,pilot_data\contract_093,pilot_data\contract_093\code.sol
contract_094,0x408485385d780e57be5f62cf8cba1e9d960696ac,0,pilot_data\contract_094,pilot_data\contract_094\code.sol
contract_095,0x863d2e78feec541d1e9034a372bda8c96f32199e,1,pilot_data\contract_095,pilot_data\contract_095\code.sol
contract_096,0x0cf778b9216471f5ad5e2ea029f3132da7fac43b,0,pilot_data\contract_096,pilot_data\contract_096\code.sol
contract_097,0x494033d18a07b39b3a5615886df77472e4081dc8,0,pilot_data\contract_097,pilot_data\contract_097\code.sol
contract_098,0x601cb558052b50fc975b8e35dae8853f1c96a1cf,1,pilot_data\contract_098,pilot_data\contract_098\code.sol
contract_099,0x8cfc9536bd8653dec401ed37854f5e590df32b71,0,pilot_data\contract_099,pilot_data\contract_099\code.sol
contract_100,0x6e3faf2dd323d295ba0c90f883fb26b95cff9740,0,pilot_data\contract_100,pilot_data\contract_100\code.sol
